,Unnamed: 0,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
1,1,WQ9m0Xa5,2025-01-11,02:00,COSTA RICA - PRIMERA DIVISION,Guanacasteca,Liberia,CLAUSURA ,2.6,3.0,2.6,1.44,2.63,1.06,10.0,1.3,3.4,2.05,1.75,1.73,2.0
2,2,lMCh4gDj,2025-01-11,02:00,MEXICO - LIGA MX,Queretaro,Club America,CLAUSURA ,2.05,3.6,3.4,1.4,2.75,1.05,11.0,1.29,3.5,1.95,1.9,1.75,2.0
3,3,fJavSd5c,2025-01-11,04:00,MEXICO - LIGA MX,Mazatlan FC,Juarez,CLAUSURA ,1.91,3.5,4.0,1.33,3.25,1.04,13.0,1.22,4.0,1.75,2.05,1.67,2.1
4,4,jogmQzzA,2025-01-11,04:05,MEXICO - LIGA MX,Club Tijuana,Toluca,CLAUSURA ,2.8,3.3,2.55,1.33,3.25,1.04,13.0,1.2,4.33,1.67,2.15,1.53,2.38
5,5,hQXC5ViA,2025-01-11,05:00,AUSTRALIA - A-LEAGUE,Wellington Phoenix,Adelaide United,ROUND 13,3.5,3.7,2.0,1.29,3.5,1.03,15.0,1.17,5.0,1.57,2.38,1.53,2.38
6,6,SUAugqkL,2025-01-11,07:00,AUSTRALIA - A-LEAGUE,Melbourne City,Brisbane Roar,ROUND 13,1.5,4.33,6.0,1.29,3.5,1.03,15.0,1.17,5.0,1.57,2.38,1.67,2.1
7,7,zmEqKTEr,2025-01-11,07:30,INDONESIA - LIGA 1,PSBS Biak Numfor,Persib Bandung,ROUND 18,3.5,3.15,1.97,1.37,2.8,1.04,8.5,1.29,3.3,2.0,1.73,1.79,1.93
8,8,SfWjI7qe,2025-01-11,09:30,INDONESIA - LIGA 1,PSS Sleman,Persebaya,ROUND 18,2.8,3.1,2.25,1.43,2.63,1.04,8.5,1.33,3.1,2.0,1.75,1.8,1.91
9,9,O0dBmNCr,2025-01-11,09:35,AUSTRALIA - A-LEAGUE,Sydney FC,Central Coast Mariners,ROUND 13,1.6,4.5,4.75,1.25,3.75,1.03,17.0,1.17,5.0,1.53,2.5,1.57,2.25
10,10,KrOjo6Y0,2025-01-11,10:15,MALAYSIA - SUPER LEAGUE,PDRM FC,Kuching City FC,ROUND 18,2.5,3.3,2.4,1.38,2.8,1.04,10.0,1.28,3.4,1.85,1.85,1.73,2.0
11,11,6NntS3nl,2025-01-11,11:30,TURKEY - SUPER LIG,Kayserispor,Samsunspor,ROUND 19,3.2,3.3,2.1,1.4,2.75,1.05,11.0,1.25,3.75,1.9,1.95,1.73,2.0
12,12,6DslWr3F,2025-01-11,11:30,TURKEY - 1. LIG,Igdir FK,Karagumruk,ROUND 19,2.38,3.3,2.88,1.4,2.75,1.06,10.0,1.3,3.4,2.0,1.8,1.8,1.91
13,13,lhRL39MM,2025-01-11,11:45,AUSTRALIA - A-LEAGUE,Perth Glory,Auckland FC,ROUND 13,6.5,4.75,1.44,1.29,3.5,1.03,17.0,1.17,5.0,1.57,2.38,1.75,2.0
14,14,hWnGlrEk,2025-01-11,12:00,PORTUGAL - LIGA 3,Sao Joao Ver,AD Fafe,ROUND 16,3.2,3.1,2.15,1.44,2.6,1.05,8.0,1.36,2.9,2.1,1.65,1.91,1.8
15,15,xnNKp4fe,2025-01-11,12:00,THAILAND - THAI LEAGUE 1,Lamphun Warrior,Muang Thong Utd,ROUND 16,2.7,3.25,2.3,1.33,2.9,1.03,9.0,1.25,3.5,1.8,1.91,1.7,2.05
16,16,Iq7JnQPr,2025-01-11,12:00,THAILAND - THAI LEAGUE 1,Nakhon Ratchasima FC,Nakhon Pathom,ROUND 16,1.98,3.25,3.35,1.36,2.75,1.04,8.0,1.3,3.25,1.88,1.92,1.8,1.91
17,17,dtLzaXk5,2025-01-11,12:30,INDIA - ISL,Bengaluru FC,Mohammedan,ROUND 16,1.48,4.2,5.5,1.33,3.25,1.04,13.0,1.22,4.0,1.75,2.05,1.83,1.83
18,18,lAKaGoE7,2025-01-11,13:00,INDONESIA - LIGA 1,Dewa United,Arema FC,ROUND 18,1.87,3.45,3.5,1.3,3.2,1.02,10.0,1.18,4.4,1.64,2.12,1.57,2.28
19,19,YX6N4PoR,2025-01-11,13:00,THAILAND - THAI LEAGUE 1,Sukhothai,Khonkaen Utd.,ROUND 16,1.7,3.65,3.95,1.29,3.1,-1.0,-1.0,1.2,4.0,1.65,2.15,1.67,2.1
20,20,pCQSrrP7,2025-01-11,13:00,THAILAND - THAI LEAGUE 1,Uthai Thani,Ratchaburi,ROUND 16,2.45,3.1,2.63,1.33,2.9,1.03,9.0,1.28,3.4,1.88,1.92,1.7,2.05
21,21,GAHaqp3D,2025-01-11,13:15,MALAYSIA - SUPER LEAGUE,Johor DT,Sabah,ROUND 18,1.14,7.0,13.0,1.2,3.75,-1.0,-1.0,1.1,5.5,1.36,2.75,2.05,1.65
22,22,hhxqqmW8,2025-01-11,13:30,ENGLAND - LEAGUE ONE,Rotherham,Bolton,ROUND 16,2.63,3.4,2.5,1.4,2.75,1.05,11.0,1.29,3.5,1.98,1.88,1.75,2.0
23,23,IBeIYaIP,2025-01-11,13:30,ENGLAND - LEAGUE TWO,Grimsby,Notts Co,ROUND 26,3.25,3.75,2.0,1.33,3.25,1.03,15.0,1.22,4.0,1.7,2.1,1.62,2.2
24,24,zRxOuHPh,2025-01-11,13:30,ENGLAND - LEAGUE TWO,Walsall,Tranmere,ROUND 26,1.53,4.1,5.75,1.36,3.0,1.04,13.0,1.25,3.75,1.85,2.0,1.91,1.8
25,25,jVtLUcLj,2025-01-11,13:30,SCOTLAND - PREMIERSHIP,Ross County,Celtic,ROUND 23,15.0,6.5,1.18,1.22,4.0,1.02,19.0,1.13,6.0,1.44,2.75,2.0,1.75
26,26,pnDmTyeU,2025-01-11,13:45,WALES - CYMRU PREMIER,Aberystwyth,Briton Ferry,ROUND 22,2.6,3.35,2.5,1.3,3.2,1.03,11.0,1.22,3.9,1.67,2.1,1.57,2.25
27,27,SnKeV6K0,2025-01-11,13:45,WALES - CYMRU PREMIER,Bala,Caernarfon,ROUND 21,1.7,3.8,3.95,1.23,3.65,1.01,16.0,1.15,5.0,1.54,2.35,1.52,2.38
28,28,drfKcJnn,2025-01-11,14:00,SPAIN - LALIGA,Alaves,Girona,ROUND 19,3.0,3.1,2.55,1.44,2.63,1.08,8.0,1.36,3.2,2.2,1.67,1.91,1.91
29,29,juGsdtGd,2025-01-11,14:00,FRANCE - LIGUE 2,Caen,Grenoble,ROUND 18,2.1,3.25,3.4,1.4,2.75,1.05,11.0,1.29,3.5,2.0,1.85,1.8,1.91
30,30,CIIEfldk,2025-01-11,14:00,FRANCE - LIGUE 2,Paris FC,Amiens,ROUND 18,1.62,3.7,5.25,1.4,2.75,1.05,11.0,1.29,3.5,1.98,1.88,2.0,1.73
31,31,OQBssUMc,2025-01-11,14:00,ISRAEL - LIGAT HA'AL,Maccabi Haifa,Kiryat Shmona,ROUND 18,1.3,5.0,7.5,1.29,3.5,1.03,17.0,1.17,5.0,1.53,2.4,1.91,1.8
32,32,h80i3M3B,2025-01-11,14:00,SPAIN - LALIGA2,Racing Club Ferrol,FC Cartagena SAD,ROUND 22,1.9,3.25,4.33,1.57,2.25,1.1,7.0,1.5,2.5,2.5,1.5,2.25,1.57
