,Unnamed: 0,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over15,HT_Odd_Under15,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
1,1,8dnfXzUH,2025-03-15,00:30,CHILE - LIGA DE PRIMERA,Limache,Huachipato,ROUND 5,2.2,3.7,2.8,1.4,2.75,3.0,1.36,1.05,11.0,1.3,3.4,1.98,1.88,1.8,1.91
2,2,OvXAMQfc,2025-03-15,01:00,ARGENTINA - TORNEO BETANO,Godoy Cruz,San Lorenzo,APERTURA ,3.5,2.8,2.45,1.75,2.05,5.0,1.17,1.17,5.0,1.67,2.1,3.4,1.33,2.5,1.5
3,3,vRcmLC8F,2025-03-15,01:00,ECUADOR - LIGA PRO,Mushuc Runa,Vinotinto,ROUND 5,1.65,3.6,5.25,1.4,2.75,2.75,1.4,1.06,10.0,1.25,3.75,1.88,1.93,1.83,1.83
4,4,Ea6bvQdS,2025-03-15,02:00,COSTA RICA - PRIMERA DIVISION,Guanacasteca,AD Santos,CLAUSURA ,2.15,3.0,3.25,1.5,2.5,3.4,1.3,1.07,9.0,1.36,3.0,2.2,1.65,1.83,1.83
5,5,KCZzrSse,2025-03-15,02:00,MEXICO - LIGA MX,Necaxa,Club Leon,CLAUSURA ,2.2,3.7,3.0,1.3,3.4,2.5,1.5,1.03,15.0,1.18,4.5,1.62,2.25,1.53,2.38
6,6,QP4yt6C7,2025-03-15,02:00,MEXICO - LIGA MX,Queretaro,Mazatlan FC,CLAUSURA ,2.1,3.25,3.7,1.5,2.5,3.4,1.3,1.07,9.0,1.4,2.75,2.25,1.62,1.95,1.8
7,7,hWdN394E,2025-03-15,04:05,MEXICO - LIGA MX,Puebla,Toluca,CLAUSURA ,5.0,4.2,1.57,1.33,3.25,2.63,1.44,1.03,15.0,1.2,4.33,1.67,2.15,1.8,1.95
8,8,d8eneLFr,2025-03-15,05:00,JAPAN - J2 LEAGUE,Blaublitz,Hokkaido Consadole Sapporo,ROUND 5,2.3,3.2,3.1,1.44,2.63,3.25,1.33,1.06,10.0,1.33,3.25,2.08,1.73,1.83,1.83
9,9,pOQ9QPk1,2025-03-15,06:00,JAPAN - J1 LEAGUE,Avispa Fukuoka,FC Tokyo,ROUND 6,2.35,3.0,3.25,1.62,2.2,4.0,1.22,1.11,6.5,1.53,2.38,2.7,1.44,2.2,1.62
10,10,SKeoYGiA,2025-03-15,06:00,JAPAN - J1 LEAGUE,Machida,Albirex Niigata,ROUND 6,1.95,3.2,4.1,1.57,2.25,3.75,1.25,1.11,6.5,1.5,2.5,2.6,1.48,2.25,1.57
11,11,f7cwzwNc,2025-03-15,06:00,JAPAN - J1 LEAGUE,Verdy,Nagoya Grampus,ROUND 6,2.45,3.0,3.1,1.67,2.1,4.33,1.2,1.13,6.0,1.62,2.2,2.88,1.4,2.25,1.57
12,12,fVuQQYqp,2025-03-15,06:00,JAPAN - J1 LEAGUE,Yokohama FC,Cerezo Osaka,ROUND 6,2.4,3.2,3.0,1.53,2.38,3.75,1.25,1.08,8.0,1.44,2.63,2.35,1.57,2.0,1.75
13,13,Of5kDKyR,2025-03-15,06:00,JAPAN - J2 LEAGUE,Fujieda MYFC,Iwaki,ROUND 5,3.0,3.4,2.25,1.4,2.75,3.0,1.36,1.05,11.0,1.3,3.4,2.03,1.83,1.8,1.91
14,14,2uHtFt7E,2025-03-15,06:00,JAPAN - J2 LEAGUE,Iwata,Kofu,ROUND 5,1.85,3.6,3.9,1.4,2.75,3.0,1.36,1.05,11.0,1.3,3.4,2.03,1.83,1.83,1.83
15,15,Mkmx4GbD,2025-03-15,06:00,JAPAN - J2 LEAGUE,Sagan Tosu,Omiya Ardija,ROUND 5,3.25,3.5,2.05,1.36,3.0,2.75,1.4,1.05,11.0,1.25,3.75,1.9,1.95,1.67,2.1
16,16,jFCGB8n2,2025-03-15,06:00,SOUTH KOREA - K LEAGUE 1,Jeju SK,Daejeon,ROUND 5,3.8,3.1,2.15,1.44,2.63,3.25,1.33,1.07,8.5,1.33,3.25,2.08,1.73,1.8,1.91
17,17,vR3QNN97,2025-03-15,06:00,SOUTH KOREA - K LEAGUE 2,Hwaseong,Cheongju,ROUND 4,2.2,3.25,3.2,1.44,2.63,3.25,1.33,1.06,10.0,1.33,3.25,2.08,1.73,1.83,1.83
18,18,6D5IPque,2025-03-15,06:00,SOUTH KOREA - K LEAGUE 2,Incheon,Seoul E-Land,ROUND 4,2.1,3.2,3.6,1.4,2.75,2.75,1.4,1.05,11.0,1.29,3.5,1.93,1.88,1.67,2.1
19,19,xbVORJjK,2025-03-15,08:00,JAPAN - J2 LEAGUE,V-Varen Nagasaki,Tokushima,ROUND 5,2.1,3.4,3.3,1.44,2.63,3.4,1.3,1.06,10.0,1.36,3.0,2.15,1.67,1.91,1.8
20,20,vk8AXk9L,2025-03-15,08:30,SOUTH KOREA - K LEAGUE 1,Daegu,Anyang,ROUND 5,2.0,3.1,4.0,1.44,2.63,3.25,1.33,1.07,9.0,1.33,3.25,2.1,1.7,1.83,1.83
