,League,Date,Time,Round,Home,Away,HT_Odd_H,HT_Odd_D,HT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,HT_Odd_Over15,HT_Odd_Under15,HT_Odd_Over25,HT_Odd_Under25,HT_Odd_BTTS_Yes,HT_Odd_BTTS_No,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Lay_Home,FT_Odd_Lay_Draw,FT_Odd_Lay_Away,Pre_Match_Home_Expected_Goals,Pre_Match_Away_Expected_Goals,Pre_Match_Total_Expected_Goals,BTTS_First_Half_Potential,BTTS_Second_Half_Potential,BTTS_Potential,Pre_Match_Home_Points_per_Game,Pre_Match_Home_Overall_Points_per_Game,Pre_Match_Away_Points_per_Game,Pre_Match_Away_Overall_Points_per_Game
1,Brazil Serie B,2025-05-20,00:00:00,8,Volta Redonda,Amazonas,2.47,2.0,5.0,1.45,2.45,3.3,1.3,9.5,1.04,0.0,0.0,1.91,3.15,3.55,1.11,7.0,1.48,2.75,2.35,1.57,2.08,1.66,1.88,1.25,1.22,1.86,1.29,3.15,17.0,0.0,17.0,1.33,0.71,0.0,0.43
2,Chile Primera División,2025-05-20,00:00:00,11,Colo-Colo,Ñublense,2.0,2.4,6.5,1.33,3.25,2.63,1.44,6.5,1.11,0.0,0.0,1.48,4.0,6.5,1.01,11.0,1.2,3.7,1.8,2.0,1.91,1.8,2.62,1.22,1.11,1.95,1.14,3.09,13.0,0.0,25.0,1.75,1.43,0.75,1.1
3,Argentina Primera División,2025-05-20,00:00:00,0,Argentinos Juniors,San Lorenzo,2.6,1.91,5.5,1.57,2.25,3.75,1.25,13.0,1.04,0.0,0.0,1.9,2.9,5.25,1.08,6.1,1.59,2.35,2.88,1.4,2.38,1.53,1.87,1.36,1.21,1.67,1.29,2.96,0.0,5.0,38.0,2.12,2.12,1.76,1.76
4,Brazil Serie C,2025-05-20,00:30:00,6,ABC,Anápolis,2.15,2.05,6.0,1.48,2.4,3.42,1.25,8.2,1.04,0.0,0.0,1.57,3.6,5.8,1.02,9.0,1.42,2.95,2.32,1.54,2.2,1.66,2.25,1.21,1.3,2.01,1.37,3.38,25.0,50.0,50.0,0.5,1.2,1.5,1.0
5,Brazil Serie C,2025-05-20,00:30:00,6,Confiança,Londrina,2.95,1.87,3.55,1.4,2.65,2.85,1.35,7.3,1.06,0.0,0.0,2.26,3.2,2.7,1.02,8.1,1.29,3.1,2.0,1.72,1.75,1.93,1.63,1.3,1.33,2.53,1.32,3.85,25.0,0.0,50.0,1.5,0.6,2.0,1.8
6,Chile Primera División,2025-05-20,02:30:00,11,La Serena,Deportes Iquique,3.1,2.1,3.5,1.4,2.75,3.0,1.36,8.0,1.08,0.0,0.0,2.45,3.1,2.88,1.01,8.7,1.28,3.08,2.05,1.75,1.8,1.91,1.53,1.33,1.4,1.47,1.41,2.88,13.0,23.0,55.0,2.25,1.0,0.4,0.56
7,Argentina Primera División,2025-05-20,02:30:00,0,Boca Juniors,Independiente,2.88,1.91,4.75,1.57,2.25,3.75,1.25,13.0,1.04,0.0,0.0,2.15,3.0,3.75,1.07,6.3,1.53,2.3,2.7,1.44,2.2,1.62,1.75,1.32,1.26,1.54,1.5,3.04,18.0,18.0,35.0,2.0,2.0,1.88,1.88
8,Brazil Serie B,2025-05-20,02:35:00,8,Coritiba,América Mineiro,2.54,1.9,4.95,1.5,2.45,3.4,1.27,7.8,1.04,0.0,0.0,1.95,3.0,4.2,1.06,6.5,1.5,2.5,2.38,1.5,2.14,1.67,1.77,1.3,1.35,1.39,1.73,3.12,0.0,0.0,0.0,2.33,1.43,0.0,1.43
9,UAE Arabian Gulf League,2025-05-20,16:10:00,25,Al Wasl,Bani Yas,1.67,2.63,7.5,1.25,3.75,2.2,1.62,4.5,1.17,0.0,0.0,1.23,5.6,8.5,1.01,17.0,1.12,5.5,1.5,2.5,1.91,1.8,3.8,1.12,1.05,1.87,1.14,3.01,29.0,21.0,50.0,2.0,1.79,1.08,1.08
10,Bulgaria First League,2025-05-20,16:45:00,6,Hebar 1918,Botev Vratsa,7.12,2.29,1.93,1.32,2.95,2.6,1.4,5.5,1.09,0.0,0.0,5.75,4.2,1.46,1.05,10.0,1.3,3.4,1.85,1.85,2.0,1.75,1.1,1.18,1.22,1.15,1.23,2.38,15.0,23.0,47.0,0.51,0.51,0.94,0.94
13,Belarus Vysheyshaya Liga,2025-05-20,17:00:00,10,Naftan,Neman Grodno,5.5,2.4,1.83,1.35,2.8,2.79,1.35,6.0,1.08,0.0,0.0,8.8,4.5,1.31,1.01,8.3,1.26,3.32,1.85,1.85,2.25,1.6,1.04,1.21,3.38,0.0,0.0,0.0,13.0,13.0,25.0,1.0,1.11,2.0,1.5
12,Finland Veikkausliiga,2025-05-20,17:00:00,15,HJK,SJK,2.09,2.43,4.75,1.28,3.3,2.3,1.6,5.1,1.15,0.0,0.0,1.75,3.66,3.65,1.03,15.0,1.17,4.8,1.55,2.2,1.62,2.2,2.15,1.18,1.25,2.31,1.95,4.26,29.0,29.0,59.0,2.0,1.43,1.75,1.75
11,Georgia Erovnuli Liga,2025-05-20,17:00:00,16,Dila,Samgurali,2.1,2.2,5.5,1.34,2.9,2.65,1.42,6.1,1.08,0.0,0.0,1.55,3.8,5.2,1.05,10.0,1.29,3.5,1.91,1.8,1.81,1.78,2.4,1.22,1.14,1.97,1.51,3.48,0.0,43.0,57.0,1.86,1.93,0.57,0.8
